Subject,Date,Day,Wakeup_Time,Bed_Time
EA,11/7/2017,1,7:55:00 AM,10:15:00 PM
EA,11/8/2017,2,8:01:00 AM,11:57:00 PM
EA,11/9/2017,3,7:16:00 AM,9:06:00 PM
EA,11/10/2017,4,6:25:00 AM,10:44:00 PM
EA,11/11/2017,5,6:48:00 AM,9:43:00 PM
EA,11/12/2017,6,7:43:00 AM,9:17:00 PM
EA,11/13/2017,7,8:17:00 AM,11:02:00 PM
