Subject,Date,Day,Wakeup_Time,Bed_Time
ZG,11/7/2017,1,6:48:00 AM,9:17:00 PM
ZG,11/8/2017,2,7:55:00 AM,10:15:00 PM
ZG,11/9/2017,3,8:01:00 AM,11:02:00 PM
ZG,11/10/2017,4,7:43:00 AM,11:54:00 PM
ZG,11/11/2017,5,7:16:00 AM,11:12:00 PM
ZG,11/12/2017,6,8:17:00 AM,9:06:00 PM
ZG,11/13/2017,7,6:25:00 AM,10:44:00 PM
