"","TimeStamp","axis1","axis2","axis3","vm","steps","days","wearing","weekday"
"84",2017-11-07 01:23:00,0,0,0,0,0,1,"w","Tuesday"
"85",2017-11-07 01:24:00,0,0,0,0,0,1,"w","Tuesday"
"86",2017-11-07 01:25:00,0,0,0,0,0,1,"w","Tuesday"
"87",2017-11-07 01:26:00,0,0,0,0,0,1,"w","Tuesday"
"88",2017-11-07 01:27:00,0,0,0,0,0,1,"w","Tuesday"
"89",2017-11-07 01:28:00,0,0,0,0,0,1,"w","Tuesday"
"90",2017-11-07 01:29:00,0,0,0,0,0,1,"w","Tuesday"
"91",2017-11-07 01:30:00,0,0,0,0,0,1,"w","Tuesday"
"92",2017-11-07 01:31:00,0,0,0,0,0,1,"w","Tuesday"
"93",2017-11-07 01:32:00,0,0,0,0,0,1,"w","Tuesday"
"94",2017-11-07 01:33:00,0,0,0,0,0,1,"w","Tuesday"
"95",2017-11-07 01:34:00,0,0,0,0,0,1,"w","Tuesday"
"96",2017-11-07 01:35:00,0,0,0,0,0,1,"w","Tuesday"
"97",2017-11-07 01:36:00,0,0,0,0,0,1,"w","Tuesday"
"98",2017-11-07 01:37:00,0,0,0,0,0,1,"w","Tuesday"
"99",2017-11-07 01:38:00,0,0,0,0,0,1,"w","Tuesday"
"100",2017-11-07 01:39:00,0,0,0,0,0,1,"w","Tuesday"
"101",2017-11-07 01:40:00,0,0,0,0,0,1,"w","Tuesday"
"102",2017-11-07 01:41:00,0,0,0,0,0,1,"w","Tuesday"
"103",2017-11-07 01:42:00,0,0,0,0,0,1,"w","Tuesday"
"104",2017-11-07 01:43:00,0,0,0,0,0,1,"w","Tuesday"
"105",2017-11-07 01:44:00,0,0,0,0,0,1,"w","Tuesday"
"106",2017-11-07 01:45:00,0,0,0,0,0,1,"w","Tuesday"
"107",2017-11-07 01:46:00,0,0,0,0,0,1,"w","Tuesday"
"108",2017-11-07 01:47:00,0,0,0,0,0,1,"w","Tuesday"
"109",2017-11-07 01:48:00,0,0,0,0,0,1,"w","Tuesday"
"110",2017-11-07 01:49:00,0,0,0,0,0,1,"w","Tuesday"
"111",2017-11-07 01:50:00,0,0,0,0,0,1,"w","Tuesday"
"112",2017-11-07 01:51:00,0,0,0,0,0,1,"w","Tuesday"
"113",2017-11-07 01:52:00,0,0,0,0,0,1,"w","Tuesday"
"114",2017-11-07 01:53:00,0,0,0,0,0,1,"w","Tuesday"
"115",2017-11-07 01:54:00,0,0,0,0,0,1,"w","Tuesday"
"116",2017-11-07 01:55:00,0,0,0,0,0,1,"w","Tuesday"
"117",2017-11-07 01:56:00,0,0,0,0,0,1,"w","Tuesday"
"118",2017-11-07 01:57:00,0,0,0,0,0,1,"w","Tuesday"
"119",2017-11-07 01:58:00,0,0,0,0,0,1,"w","Tuesday"
"120",2017-11-07 01:59:00,0,0,0,0,0,1,"w","Tuesday"
"121",2017-11-07 02:00:00,0,0,0,0,0,1,"w","Tuesday"
"122",2017-11-07 02:01:00,0,0,0,0,0,1,"w","Tuesday"
"123",2017-11-07 02:02:00,161,200,275,410,2,1,"w","Tuesday"
"124",2017-11-07 02:03:00,0,0,0,0,0,1,"w","Tuesday"
"125",2017-11-07 02:04:00,0,0,0,0,0,1,"w","Tuesday"
"126",2017-11-07 02:05:00,0,0,0,0,0,1,"w","Tuesday"
"127",2017-11-07 02:06:00,0,0,0,0,0,1,"w","Tuesday"
"128",2017-11-07 02:07:00,0,0,0,0,0,1,"w","Tuesday"
"129",2017-11-07 02:08:00,0,0,0,0,0,1,"w","Tuesday"
"130",2017-11-07 02:09:00,0,0,0,0,0,1,"w","Tuesday"
"131",2017-11-07 02:10:00,0,0,0,0,0,1,"w","Tuesday"
"132",2017-11-07 02:11:00,0,0,0,0,0,1,"w","Tuesday"
"133",2017-11-07 02:12:00,0,0,0,0,0,1,"w","Tuesday"
"134",2017-11-07 02:13:00,0,0,0,0,0,1,"w","Tuesday"
"135",2017-11-07 02:14:00,0,0,0,0,0,1,"w","Tuesday"
"136",2017-11-07 02:15:00,0,0,0,0,0,1,"w","Tuesday"
"137",2017-11-07 02:16:00,0,0,0,0,0,1,"w","Tuesday"
"138",2017-11-07 02:17:00,0,0,0,0,0,1,"w","Tuesday"
"139",2017-11-07 02:18:00,0,0,0,0,0,1,"w","Tuesday"
"140",2017-11-07 02:19:00,0,0,0,0,0,1,"w","Tuesday"
"141",2017-11-07 02:20:00,0,0,0,0,0,1,"w","Tuesday"
"142",2017-11-07 02:21:00,0,0,0,0,0,1,"w","Tuesday"
"143",2017-11-07 02:22:00,0,0,0,0,0,1,"w","Tuesday"
"144",2017-11-07 02:23:00,0,0,0,0,0,1,"w","Tuesday"
"145",2017-11-07 02:24:00,0,0,0,0,0,1,"w","Tuesday"
"146",2017-11-07 02:25:00,0,0,0,0,0,1,"w","Tuesday"
"147",2017-11-07 02:26:00,0,0,0,0,0,1,"w","Tuesday"
"148",2017-11-07 02:27:00,0,0,0,0,0,1,"w","Tuesday"
"149",2017-11-07 02:28:00,0,0,0,0,0,1,"w","Tuesday"
"150",2017-11-07 02:29:00,0,0,0,0,0,1,"w","Tuesday"
"151",2017-11-07 02:30:00,0,0,0,0,0,1,"w","Tuesday"
"152",2017-11-07 02:31:00,0,0,0,0,0,1,"w","Tuesday"
"153",2017-11-07 02:32:00,0,0,0,0,0,1,"w","Tuesday"
"154",2017-11-07 02:33:00,0,0,0,0,0,1,"w","Tuesday"
"155",2017-11-07 02:34:00,0,0,0,0,0,1,"w","Tuesday"
"156",2017-11-07 02:35:00,0,0,0,0,0,1,"w","Tuesday"
"157",2017-11-07 02:36:00,0,0,0,0,0,1,"w","Tuesday"
"158",2017-11-07 02:37:00,0,0,0,0,0,1,"w","Tuesday"
"159",2017-11-07 02:38:00,0,0,0,0,0,1,"w","Tuesday"
"160",2017-11-07 02:39:00,0,0,0,0,0,1,"w","Tuesday"
"161",2017-11-07 02:40:00,0,0,0,0,0,1,"w","Tuesday"
"162",2017-11-07 02:41:00,0,0,0,0,0,1,"w","Tuesday"
"163",2017-11-07 02:42:00,0,0,0,0,0,1,"w","Tuesday"
"164",2017-11-07 02:43:00,0,0,0,0,0,1,"w","Tuesday"
"165",2017-11-07 02:44:00,0,0,0,0,0,1,"w","Tuesday"
"166",2017-11-07 02:45:00,0,0,0,0,0,1,"w","Tuesday"
"167",2017-11-07 02:46:00,0,0,0,0,0,1,"w","Tuesday"
"168",2017-11-07 02:47:00,0,0,0,0,0,1,"w","Tuesday"
"169",2017-11-07 02:48:00,0,0,0,0,0,1,"w","Tuesday"
"170",2017-11-07 02:49:00,0,0,0,0,0,1,"w","Tuesday"
"171",2017-11-07 02:50:00,23,8,37,49,0,1,"w","Tuesday"
"172",2017-11-07 02:51:00,0,0,0,0,0,1,"w","Tuesday"
"173",2017-11-07 02:52:00,0,0,1,1,0,1,"w","Tuesday"
"174",2017-11-07 02:53:00,0,0,0,0,0,1,"w","Tuesday"
"175",2017-11-07 02:54:00,0,0,0,0,0,1,"w","Tuesday"
"176",2017-11-07 02:55:00,0,0,0,0,0,1,"w","Tuesday"
"177",2017-11-07 02:56:00,0,0,0,0,0,1,"w","Tuesday"
"178",2017-11-07 02:57:00,0,0,0,0,0,1,"w","Tuesday"
"179",2017-11-07 02:58:00,0,0,0,0,0,1,"w","Tuesday"
"180",2017-11-07 02:59:00,0,0,0,0,0,1,"w","Tuesday"
"181",2017-11-07 03:00:00,46,30,141,160,1,1,"w","Tuesday"
"182",2017-11-07 03:01:00,0,0,0,0,0,1,"w","Tuesday"
"183",2017-11-07 03:02:00,0,0,0,0,0,1,"w","Tuesday"
"184",2017-11-07 03:03:00,0,0,0,0,0,1,"w","Tuesday"
"185",2017-11-07 03:04:00,0,0,0,0,0,1,"w","Tuesday"
"186",2017-11-07 03:05:00,0,0,0,0,0,1,"w","Tuesday"
"187",2017-11-07 03:06:00,0,0,0,0,0,1,"w","Tuesday"
"188",2017-11-07 03:07:00,0,0,0,0,0,1,"w","Tuesday"
"189",2017-11-07 03:08:00,0,0,0,0,0,1,"w","Tuesday"
"190",2017-11-07 03:09:00,0,0,0,0,0,1,"w","Tuesday"
"191",2017-11-07 03:10:00,0,0,0,0,0,1,"w","Tuesday"
"192",2017-11-07 03:11:00,0,0,0,0,0,1,"w","Tuesday"
"193",2017-11-07 03:12:00,0,0,0,0,0,1,"w","Tuesday"
"194",2017-11-07 03:13:00,0,0,0,0,0,1,"w","Tuesday"
"195",2017-11-07 03:14:00,0,0,0,0,0,1,"w","Tuesday"
"196",2017-11-07 03:15:00,0,0,0,0,0,1,"w","Tuesday"
"197",2017-11-07 03:16:00,0,0,0,0,0,1,"w","Tuesday"
"198",2017-11-07 03:17:00,0,0,0,0,0,1,"w","Tuesday"
"199",2017-11-07 03:18:00,0,0,0,0,0,1,"w","Tuesday"
"200",2017-11-07 03:19:00,0,0,0,0,0,1,"w","Tuesday"
"201",2017-11-07 03:20:00,0,0,0,0,0,1,"w","Tuesday"
"202",2017-11-07 03:21:00,0,0,0,0,0,1,"w","Tuesday"
"203",2017-11-07 03:22:00,0,0,0,0,0,1,"w","Tuesday"
"204",2017-11-07 03:23:00,0,0,0,0,0,1,"w","Tuesday"
"205",2017-11-07 03:24:00,0,0,0,0,0,1,"w","Tuesday"
"206",2017-11-07 03:25:00,0,0,0,0,0,1,"w","Tuesday"
"207",2017-11-07 03:26:00,0,0,0,0,0,1,"w","Tuesday"
"208",2017-11-07 03:27:00,0,0,0,0,0,1,"w","Tuesday"
"209",2017-11-07 03:28:00,0,0,0,0,0,1,"w","Tuesday"
"210",2017-11-07 03:29:00,0,0,0,0,0,1,"w","Tuesday"
"211",2017-11-07 03:30:00,0,0,0,0,0,1,"w","Tuesday"
"212",2017-11-07 03:31:00,0,0,0,0,0,1,"w","Tuesday"
"213",2017-11-07 03:32:00,0,0,0,0,0,1,"w","Tuesday"
"214",2017-11-07 03:33:00,0,0,0,0,0,1,"w","Tuesday"
"215",2017-11-07 03:34:00,0,0,0,0,0,1,"w","Tuesday"
"216",2017-11-07 03:35:00,0,0,0,0,0,1,"w","Tuesday"
"217",2017-11-07 03:36:00,0,0,0,0,0,1,"w","Tuesday"
"218",2017-11-07 03:37:00,0,0,0,0,0,1,"w","Tuesday"
"219",2017-11-07 03:38:00,0,0,0,0,0,1,"w","Tuesday"
"220",2017-11-07 03:39:00,53,171,429,471,1,1,"w","Tuesday"
"221",2017-11-07 03:40:00,66,101,464,486,1,1,"w","Tuesday"
"222",2017-11-07 03:41:00,0,0,0,0,0,1,"w","Tuesday"
"223",2017-11-07 03:42:00,0,0,0,0,0,1,"w","Tuesday"
"224",2017-11-07 03:43:00,0,0,0,0,0,1,"w","Tuesday"
"225",2017-11-07 03:44:00,0,0,0,0,0,1,"w","Tuesday"
"226",2017-11-07 03:45:00,0,0,0,0,0,1,"w","Tuesday"
"227",2017-11-07 03:46:00,0,0,0,0,0,1,"w","Tuesday"
"228",2017-11-07 03:47:00,0,0,0,0,0,1,"w","Tuesday"
"229",2017-11-07 03:48:00,0,0,0,0,0,1,"w","Tuesday"
"230",2017-11-07 03:49:00,0,0,0,0,0,1,"w","Tuesday"
"231",2017-11-07 03:50:00,0,0,0,0,0,1,"w","Tuesday"
